age,pop
0_,244080
1_,257876
2_,272993
3_,293068
4_,319713
5_,346711
6_,383852
7_,427175
8_,439013
9_,430993
10_,458432
11_,467466
12_,476261
13_,440518
14_,447084
15_,480197
16_,451607
17_,432257
18_,446954
19_,490062
20_,497379
21_,532754
22_,621503
23_,652693
24_,649335
25_,687757
26_,706563
27_,730258
28_,730428
29_,739711
30_,752559
31_,746104
32_,687553
33_,677758
34_,660566
35_,643586
36_,652753
37_,669445
38_,666030
39_,718029
40_,786463
41_,841058
42_,838449
43_,835828
44_,764417
45_,753830
46_,743658
47_,760474
48_,799989
49_,868993
50_,885874
51_,889127
52_,925395
53_,889386
54_,935830
55_,843124
56_,816559
57_,825430
58_,832681
59_,752957
60_,873730
61_,801437
62_,925975
63_,872679
64_,784384
65_,741597
66_,692808
67_,649750
68_,666467
69_,523561
70_,504420
71_,496718
72_,392336
73_,433444
74_,407759
75_,402857
76_,388723
77_,262478
78_,299642
79_,283398
80_,318986
81_,307684
82_,247909
83_,226742
84_,210425
85_,970361
